,site_id,village,edu_age_15up_total,EducationWeight,Merriage/NoMerriage,ordinary/single,FamilyWeight,18-38,39-59,60-80,81-100,Total_Ratio,18-59/60-100,Agree_x,Useful_x,Agree_y,Useful_y
2905,新北市瑞芳區,東和里,1719,3.3350785340314135,3.2931392931392933,1.9190283400809716,3.60748959778086,491.0,640.0,402.0,93.0,0.9619732785200411,2.0596555965559658,321,712,544,708
2906,新北市瑞芳區,柑坪里,1143,3.353455818022747,3.1676646706586826,2.1347517730496453,3.8099547511312215,365.0,422.0,241.0,68.0,1.0915141430948418,2.010948905109489,313,541,376,520
2907,新北市瑞芳區,永慶里,451,3.2815964523281598,3.3828125,0.8615384615384616,3.28099173553719,90.0,186.0,137.0,32.0,1.0905172413793103,2.249438202247191,88,177,143,168
2908,新北市瑞芳區,海濱里,1280,3.34921875,3.7777777777777777,0.9940652818991098,3.230654761904762,393.0,540.0,270.0,40.0,0.8650137741046832,1.9654062751407884,190,460,359,459
2909,新北市瑞芳區,深澳里,1308,3.2889908256880735,4.147260273972603,1.0584615384615386,3.2929745889387143,407.0,573.0,274.0,55.0,0.8954248366013072,1.9824293353705118,202,483,398,496
2910,新北市瑞芳區,猴硐里,483,3.1345755693581783,3.095890410958904,1.9142857142857144,3.5049019607843137,118.0,191.0,124.0,29.0,1.3150684931506849,2.1385281385281387,114,221,169,221
2911,新北市瑞芳區,瑞濱里,2030,3.4014778325123154,3.514925373134328,1.0414312617702448,3.2804428044280445,635.0,809.0,441.0,64.0,0.9537117903930131,1.9661364802462802,434,933,741,957
2912,新北市瑞芳區,瓜山里,189,3.5291005291005293,3.3703703703703702,0.6617647058823529,3.1769911504424777,42.0,64.0,57.0,18.0,1.043010752688172,2.281767955801105,42,95,65,89
2913,新北市瑞芳區,石山里,344,3.3982558139534884,3.6666666666666665,0.7614678899082569,3.2916666666666665,62.0,127.0,103.0,45.0,1.111764705882353,2.3887240356083086,74,173,121,166
2914,新北市瑞芳區,碩仁里,156,3.5256410256410255,3.5952380952380953,1.0,3.3783783783783785,35.0,63.0,51.0,6.0,1.2162162162162162,2.1806451612903226,51,91,66,90
2915,新北市瑞芳區,福住里,171,3.461988304093567,3.7674418604651163,0.6451612903225806,3.2745098039215685,32.0,67.0,52.0,11.0,1.2195121951219512,2.259259259259259,27,73,60,72
2916,新北市瑞芳區,銅山里,197,3.1878172588832485,4.325581395348837,0.847457627118644,3.330275229357798,27.0,65.0,62.0,31.0,1.2,2.5243243243243243,33,73,61,73
